ID	hapR	vpsR	vpsT	vpsR,vpsT	vpsR,hapR	vpsT,hapR	vpsR,vpsT,hapR
VC0045	-0.144694528	-0.080954027	-0.053446935	-0.012841517	-0.046049955	0.023822204	0.119998027
VC0046	-0.104714186	0.149397314	0.051219638	0.155622248	0.116415181	-0.015677872	0.333333004
VC0047	-0.110589695	-0.373037307	-0.115646779	-0.188460357	0.299323789	-0.144365526	-0.247573035
VC0048	-0.007325474	0.525307688	0.064860758	0.241361878	0.161665344	0.014119372	0.373581115
VC0049	0.039310602	0.454955103	0.006068991	0.038442329	-0.013417793	0.0048375	0.242582551
VC0050	0.002784208	0.606142602	0.400557766	0.100498232	-0.508013329	0.444590624	0.335593814
VC0051	0.671821897	-1.502673364	-1.136884389	-1.273013943	0.614113066	0.959288813	-0.68015773
VC0052	0.383141195	-1.711231653	-1.186624552	-1.570338283	0.774962753	0.87333453	-0.636056067
VC0053	-0.386875027	0.772972193	0.154253123	0.212574742	-0.139370092	0.121590274	-0.441954549
VC0054	-0.003177553	0.261561138	0.033785618	0.086087145	0.021044313	-0.062695489	0.001051643
VC0055	-0.012937466	-0.102532099	-0.098587552	-0.002233711	-0.194809863	0.106514477	0.009649538
VC0056	0.086301747	0.0846133	-0.075433232	-0.074929058	-0.092195504	0.052699914	-0.093568784
VC0057	0.033074025	0.161104421	-0.192135065	-0.053598011	-0.114948978	-0.13409869	-0.258225492
VC0058	0.379619185	0.407397204	0.296903679	0.2753252	0.107267149	0.37902783	0.114145741
VC0059	0.250218345	0.336539488	0.64706426	0.526790597	0.537176863	0.33717473	0.755353494
VC0060	0.054547973	0.492919455	0.548222527	0.334398001	-0.040076752	0.032150799	-0.567274391
VC0061	-0.075535118	0.35662706	0.050227736	0.141073989	6.048816742	-0.004352086	4.872397734
VC0062	0.121023568	0.090681806	0.121129902	0.20265855	5.500532034	0.166422035	3.870417267
VC0063	-0.240188672	0.099968653	0.143625712	0.195735901	5.537706334	0.194864885	4.526292232
VC0064	0.248419874	0.026069683	0.032355675	0.115217009	5.394457261	0.019616594	5.072725019
VC0065	0.157776278	-0.052945893	-0.057380833	0.083836785	5.160290268	0.109026504	5.239899434
VC0066	0.218091691	0.054890182	0.016612518	0.132823039	4.801115254	0.083155939	4.302341323
VC0067	0.211427411	-0.172250239	-0.166741025	-0.188506364	-0.425795957	-0.05258749	0.079224216
VC0068	0.186164336	0.103615792	-0.080506153	-0.032991272	-0.358163008	0.051880037	-0.126940657
VC0069	0.22950205	-0.160555555	0.027764233	-0.081185625	2.467755299	0.725735059	0.856530122
VC0070	0.070183937	0.634885026	0.759818643	0.545826455	0.470803024	0.291928655	0.442953169
VC0071	-0.067920385	0.181273462	0.271866177	0.196987324	0.035619316	0.105537283	0.128197594
VC0072	-0.090371711	0.054368688	0.08614764	-0.095546914	-0.150917159	0.211610423	0.060854928
VC0073	0.085761466	0.133922494	0.193311119	0.074655994	0.330494282	0.15146337	0.186548248
VC0074	-0.195211704	0.262700071	0.279161777	0.319076128	-0.663384308	-0.056400178	0.206596104
VC0075	-0.036083115	0.135593862	0.179979413	0.262987535	-0.109057281	0.310462595	0.382988245
VC0076	0.441814931	0.314245305	-0.103770721	0.308221389	-0.613353069	0.064723491	-0.279942928
VC0077	0.078994099	-0.086067973	-0.041603464	0.133849651	0.123052931	0.189053275	-0.064786993
VC0078	0.18280555	-0.225436232	-0.028365717	-0.206059798	0.050877193	-0.114816341	-0.765895679
VC0079	0.114450074	0.163835786	0.111645207	0.256963086	0.103203276	0.260959227	0.322824467
VC0080	-0.270336137	-0.074458903	-0.002323799	0.02900968	-0.405666747	-0.15065433	0.409756101
VC0081	0.235490529	-0.212431101	-0.107468716	-0.081897625	-0.370551223	0.006179585	-0.027529163
VC0082	-0.191441125	-0.021228425	-0.033876888	-0.012211084	-0.047813636	-0.191438453	0.336887926
VC0083	0.020837846	-0.306531688	-0.28366264	-0.353271076	-0.041837424	0.002226051	-0.034876813
VC0084	-0.112281377	-0.242081769	-0.255617174	-0.375844484	-0.179790845	0.001258528	-0.033117491
VC0085	0.021351366	-0.273019946	-0.35392115	-0.127253992	-0.066281006	-0.036531103	-0.170479247
VC0086	-0.139071235	-0.123657428	-0.26943814	-0.104933719	-0.053592582	-0.152471751	0.269656522
VC0087	-0.016202156	-0.050494691	-0.070676788	-0.107838613	-0.317235631	0.123349441	0.22497801
VC0088	0.052125843	-0.135919843	-0.055952343	0.002085777	-0.036517717	0.077495021	0.426300927
VC0089	0.085417726	-0.167764441	-0.186081974	-0.084347848	-0.211126001	0.300269672	-0.133279272
VC0090	-0.01198254	-0.056638387	-0.056887201	-0.126106221	-0.029262454	0.003956416	-0.252123575
VC0091	0.076176397	-0.11210564	-0.164145298	-0.383354105	0.148998566	-0.037642188	0.156540179
VC0092	0.264706675	-0.325782406	-0.305082693	-0.369118956	-0.135606727	-0.004787937	0.341655623
VC0093	-0.151634814	-0.025625484	0.043211635	0.185051641	0.306130328	0.405737334	0.333529296
VC0094	0.053164781	-0.144752284	-0.011685154	-0.034792723	-0.04625305	0.25390464	-0.036653812
VC0095	-0.011485987	-0.01967847	-0.2336303	-0.127659224	-0.025082607	-0.058429221	0.161694654
VC0096	0.048317602	0.210748822	-0.065040489	0.252238754	0.112386072	-0.306771428	0.870496217
VC0097	0.058068649	0.205612499	0.154811103	0.131028369	0.274761202	-0.18878834	-0.090659617
VC0098	0.071160359	0.462166617	0.050011814	0.089156056	0.546972922	0.284230163	-0.082235569
VC0099	0.083762815	-0.120583006	0.057719174	-0.234222427	-0.092372642	0.070240541	-0.232876201
VC0100	0.201487432	0.16487738	0.340672793	0.406595792	0.588485065	0.113113908	0.193928582
VC0101	0.197850869	0.449486515	0.442877709	0.537247937	-0.580115901	-0.156169435	-0.0523851
VC0102	-0.301791766	1.491687396	1.25391423	1.260674883	-0.585890699	0.448639956	-0.167143286
VC0103	0.400117026	-0.001726218	0.245681994	0.113922113	0.885426618	-0.031115972	-0.006953568
VC0104	-0.032392821	0.171304699	0.130363716	0.017955727	0.142872336	0.144397753	-0.065880634
VC0105	0.088409592	-0.515751747	-0.55000589	-0.457747359	0.024960618	-0.213383863	-0.330443015
VC0106	1.145370094	-0.076816561	0.155249136	-0.02216181	0.496557531	0.22126371	0.109892263
VC0107	-0.089557664	0.367074112	0.089272016	0.192337425	0.023464217	0.382383218	-0.269030882
VC0108	0.050387727	0.021729737	0.026296794	0.007811308	0.158047445	0.081444618	0.106002537
VC0109	-0.178543228	0.220297341	0.046505022	0.233348488	-0.050393438	0.315311891	0.090880229
VC0110	0.089440107	0.509968011	0.41514713	0.393543102	-0.01906127	0.123786696	0.407168406
VC0111	-0.058313494	0.141397545	0.277697435	0.092034265	0.075419892	0.239456536	0.126795301
VC0112	0.490565568	-0.115257306	0.177363331	-0.009906032	0.08477066	0.232582246	-0.403461907
VC0113	-0.131820335	0.392776536	0.518231916	0.337420136	0.385412566	0.047577442	0.281519146
VC0114	-0.250149044	0.172420235	0.325800463	0.2679229	0.447258017	0.005285369	0.639205761
VC0115	-0.135642337	0.056382749	0.492477528	0.055307031	0.373909547	0.22460638	0.205390362
VC0116	0.28960186	0.121370458	0.362351035	0.158990688	0.282922245	-0.01394834	0.171505628
VC0117	0.26805321	-0.108861524	0.027328269	-0.060737931	0.618349292	0.028377489	-0.203984299
VC0118	0.074007825	0.078015743	0.426358482	0.073364065	0.168795666	0.224055075	-0.043850707
VC0119	0.438961528	0.265334398	0.132580275	0.007123818	0.1313198	0.017639531	-0.278522244
VC0120	0.166154146	0.221064365	0.347603537	0.301456824	0.763474889	0.244637304	0.003284671
VC0121	0.378953899	0.896618326	0.580795478	0.174992417	-0.444795352	0.835472063	0.42185169
VC0122	-0.85919045	-0.11957722	-0.10235326	-0.543733158	-0.086006336	0.214995752	-0.07533636
VC0123	0.222511768	-0.307713886	0.15591072	0.124958563	0.172801461	0.307500263	0.020004928
VC0124	-0.140812001	0.213032807	0.062923316	0.061382459	-0.079245925	-0.113960805	0.668410644
VC0125	0.177435926	0.33906511	0.349890412	0.185735993	0.26032606	0.173242273	0.059786452
VC0126	0.100225699	-0.106122494	-0.035482434	-0.203321425	0.029009814	-0.045798502	-0.013331178
VC0127	0.042905217	-0.12079605	-0.011563807	-0.124129263	0.086186529	0.107299167	0.001169979
VC0128	-0.026701829	-0.168894909	-0.059242007	-0.191114467	-0.100298502	0.048993198	-0.131390719
VC0129	-0.08136423	-0.336528169	-0.196153667	-0.314189541	-0.636076501	-0.028119693	-0.235958738
VC0130	0.277585049	-0.034543463	0.098442394	-0.268608345	0.519404171	0.532643001	-0.215731157
VC0131	1.358372414	-0.271369013	-0.111021434	-0.276745496	0.047185824	-0.468025088	-0.164316682
VC0132	0.431153147	-1.792479219	-0.654528787	-1.998083437	-1.392070742	-1.032589621	-1.706866087
VC0133	0.243484069	0.27431792	0.183363574	0.392626812	0.659304664	0.042289192	0.168754756
VC0134	-0.122549722	-0.812300383	-0.751222523	-0.776802537	-0.632943758	-0.318639354	-0.531610562
VC0135	-0.035395123	-0.056930244	-0.146050017	-0.314583061	-0.02666962	-0.293799425	0.266474161
VC0136	0.252790433	-0.158413806	-0.101507852	-0.256226585	0.060690088	-0.010198886	-0.155385375
VC0137	0.249055208	-0.345861328	-0.442760249	-0.471136442	-0.200291954	0.061500742	-0.027304608
VC0138	0.727346469	-0.348279575	-0.057128552	-0.606809203	-0.923126003	-0.165681394	-0.400356648
VC0139	0.150159096	0.047732026	0.067705681	0.01521932	-0.099275573	0.117698976	-0.06701801
VC0140	0.74056925	0.404120325	0.310514732	0.302523177	0.719387117	0.196995015	-0.108449143
VC0141	-0.099561734	0.315153446	0.376950726	0.112601589	-0.25160995	0.298007387	0.302312674
VC0142	0.878232741	-0.2410931	0.136615759	-0.055187358	-0.584475639	0.350494167	-0.361232849
VC0144	0.470671373	0.644031245	0.473635825	0.482874912	0.443432703	0.523507604	0.039467825
VC0145	0.216699634	0.344981269	0.375769218	0.450234509	0.304808028	0.466686733	0.260752074
VC0146	0.096645774	0.327787729	0.178130133	0.335579615	0.206680665	0.177635947	-0.022156232
VC0147	0.082658132	0.355399525	0.378056077	0.416604956	0.540750625	0.134460412	0.276352845
VC0148	-0.050144401	0.276744156	0.293164795	0.32451032	0.362934727	0.135207329	0.273330032
VC0149	0.092758403	0.24227745	0.13798296	0.05414716	0.199278169	0.080755645	0.060165536
VC0150	0.238040005	-0.014206787	0.12467266	0.059863256	-0.140205829	0.348659999	-0.326669202
VC0151	0.745765347	0.143271232	-0.13913169	0.170579223	0.695359008	0.083550038	0.158210171
VC0152	0.015133933	-0.15890241	-0.169275441	-0.08724227	-0.335725614	0.068826335	-0.27953725
VC0153	0.122408829	-0.181816256	-0.178205908	-0.221574685	-0.322813863	0.209738437	-0.534699
VC0154	-0.182841369	-0.03846624	0.035070758	0.229243942	-0.00568925	0.126625899	0.119056725
VC0156	-0.133976717	-0.330938274	-0.218355303	-0.156630421	-0.625078471	0.274193214	0.376069678
VC0157	0.266587058	-1.698964657	-1.461996476	-1.665816762	-2.305061172	-0.212301354	-1.384128011
VC0158	0.160624881	0.116779041	0.164008593	0.043458217	-0.354718182	0.386041891	0.214242253
VC0159	0.633876621	0.402803813	0.224294432	0.586857288	0.458637641	0.5839446	0.357574293
VC0160	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
VC0161	0.110562828	0.016899923	-0.062545421	0.028952832	0.223854536	0.170078792	0.177791592
VC0162	0.022671181	-0.323983866	-0.88169522	-0.82881481	-1.3534715	-0.16215231	-0.968028402
VC0163	1.796667777	0.173762382	0.51617298	0.655181358	0.404493382	0.79204768	1.778255009
VC0164	-0.289650366	0.140168076	0.052266507	0.203698009	0.118815626	-0.121606176	0.322975097
VC0165	-0.339399365	0.249254608	-0.252755818	0.052634181	0.251670389	-0.309101093	0.081549611
VC0166	-0.22727238	0.208878871	0.170236112	0.119874659	0.499646927	-0.107094347	0.121247448
VC0167	-0.141796751	0.001501502	-0.023546489	0.185446626	0.291218	-0.074943496	0.12366593
VC0168	0.55820423	0.02704882	0.434820526	0.381102527	0.198075224	1.16956992	0.612203899
VC0169	-0.178535231	0.356046607	0.100351568	0.312988255	0.852719763	0.761440284	3.078200344
VC0170	0.686718475	-0.001906328	-0.059406163	-0.051532405	0.304560074	0.046136352	0.192522241
VC0171	1.495294894	-0.624733958	-0.69799978	-0.555841133	-0.30477726	-0.084876604	-0.164209815
VC0172	1.100287298	-0.24461055	-0.344892307	-0.263481355	0.435929794	0.073068614	-0.253842342
VC0173	1.01718599	-0.062615825	0.023409669	-0.142076319	0.194855678	-0.064169529	-0.091706166
VC0174	0.146027597	0.259466334	0.163419248	0.351149275	0.204744548	0.577574676	0.115969671
VC0175	-0.031814245	1.117306806	0.45221233	0.944531873	0.872778297	0.446834686	0.096806462
VC0176	-0.381109019	-0.789545105	-0.948894546	-0.78035791	-0.816529378	-0.497230384	-0.749091147
VC0177	-0.222038278	-4.458924674	-4.820843486	-4.304604992	-4.963714999	-1.048053394	-5.302035214
VC0178	-0.289720418	-0.286050662	-0.701409351	-0.36360905	-0.261002193	-0.430230997	-0.736576751
VC0179	-0.528293393	-0.419029501	-0.887809727	-0.454110938	-0.473932551	-0.305724286	-0.684002513
VC0180	-0.361150632	-0.084801323	-0.447960702	-0.298638662	-0.322298062	-0.089701135	-0.598605096
VC0181	-0.392775972	-0.272602893	-0.361549711	-0.172852792	-0.189543721	0.181376095	-0.45061942
VC0182	0.474395817	0.466036335	0.458517541	0.258335241	0.231218638	0.18383787	0.002233549
VC0183	0.868194826	0.477986792	0.129190455	0.386052605	0.869449305	0.029596056	0.187848124
VC0184	0.002673111	0.488422964	0.167995556	0.360902668	0.444521983	0.178112192	0.245071234
VC0185	0.056418772	0.405308262	0.187790842	0.272050885	0.285401918	0.325067895	0.256351512
VC0186	0.146583627	-0.140238878	-0.095388651	-0.088845702	0.434687119	-0.157917535	-0.03989834
VC0187	0.024382692	0.265105683	0.260370523	0.166494913	0.760228608	0.058330799	0.154425299
VC0188	0.596522236	-0.131892731	-0.061414611	-0.344460497	0.551355295	-0.06257385	0.27868115
VC0189	0.224010894	0.356205109	0.182321671	0.053183771	0.345524716	0.706477781	0.230842924
VC0190	0.122188416	-0.222022222	-0.314284096	-0.21455809	-0.041658417	-0.2174549	-0.096582074
VC0191	0.098433315	-0.15954386	-0.195075882	-0.225194439	-0.13433532	0.230262888	-0.518016202
VC0192	0.337236817	-0.246576701	0.187773732	-0.158710244	-0.111392993	0.146913647	0.423645802
VC0193	0.234684403	-0.275498055	0.041010919	-0.151732434	-0.42103554	0.112007583	-0.135822728
VC0194	0.753367272	-0.793998402	-0.287850449	-1.076229954	-1.258813134	-0.058450954	-0.919960056
VC0195	-0.125480008	0.610892909	0.575201012	0.568610122	0.722543656	0.578032803	0.266954354
VC0196	0.037174445	0.359182534	0.414174426	0.195006789	0.2911747	0.233185319	0.226323784
VC0197	-0.034160123	-0.080490797	0.043880461	0.0069961	0.148472009	0.230749248	0.377523651
VC0198	2.205952111	0.773290262	0.016442408	-0.140663518	-0.05696357	-0.314776187	-0.079751989
VC0199	0.738556732	-0.01305694	0.029921255	0.089438913	0.899874853	0.1584755	0.338827413
VC0200	1.818179195	-0.373223632	0.130854115	-0.358648476	2.756243602	1.248736417	1.80870964
VC0201	1.848303214	0.928602644	0.1085208	0.078991017	0.324249184	0.671296526	0.269758075
VC0202	0.096166532	0.022982872	0.230551959	0.067352546	2.053986542	0.339298217	0.176662193
VC0203	0.79195552	-0.127968743	0.1911408	0.15453071	-0.338685458	0.244679936	0.407512411
VC0204	0.671224375	-0.141945064	0.171233265	-0.255490578	0.468222195	0.44046381	-0.034972597
VC0205	-0.336046877	0.577852438	-0.19276999	0.532384215	-0.112840634	0.211459019	-0.388100579
VC0206	-0.247267007	-0.198475221	-0.199433645	-0.150006921	-0.05097429	-0.173077859	-0.121034254
VC0207	0.110035856	-0.029463353	0.104270061	-0.050306866	0.322187305	0.191153243	0.044768034
VC0208	0.224918473	0.161855691	0.315338685	0.316834934	0.413032446	0.278173184	0.339875992
VC0209	-0.229420216	-0.338756233	-0.302744545	-0.440933174	-0.367022359	0.009544947	-0.186309085
VC0210	0.019655597	0.149232275	0.239778392	0.156252615	0.046367137	-0.00825056	-0.263493131
VC0211	0.642271643	-0.410974491	-0.299850289	-0.438982049	0.203356799	0.494411919	-0.209086772
VC0212	0.092536193	-0.068384417	0.291192483	0.155554986	-0.0172882	0.165260307	0.312522608
VC0213	-0.011732232	0.117299823	0.212772858	0.080659408	0.03974487	0.137753882	0.319356684
VC0214	0.086903399	0.0346379	0.053993494	0.127388428	0.28185863	-0.193274413	0.014883289
VC0215	-0.040936198	-0.098131351	-0.05169403	-0.057819605	-0.016340242	-0.029210262	-0.322600119
VC0216	0.450653115	-0.074213859	-0.258639877	-0.06499854	0.178488759	0.006153559	-0.133166023
VC0217	0.020225707	-0.100115969	-0.117010783	-0.070410039	-0.062573803	0.0790001	-0.012609766
VC0218	0.226569228	-0.049101881	0.67243392	0.107142461	0.528087449	0.005814326	0.075934571
VC0219	0.057322166	-0.247032032	0.52145566	0.021745849	-0.63602602	1.350883819	0.410082797
VC0220	0.07246889	0.04252512	0.179536327	0.144576118	-0.119750875	0.162089301	0.311383186
VC0221	0.198565494	0.113244497	0.335517969	0.007268906	0.023357397	0.331068112	-0.075645877
VC0222	0.088293318	-0.183718759	-0.038901243	0.009515948	0.019129453	-0.213592668	0.476191886
VC0223	0.016740252	-0.054874464	0.043709153	-0.132141183	-0.480742914	0.205891778	-0.146534164
VC0224	-0.07693481	-0.030439108	0.19514206	0.089916937	0.130318839	0.020645878	0.000604356
VC0225	0.127856065	0.012122837	0.052995495	-0.141030559	0.135098754	0.075871496	-0.215465345
VC0226	0.317579548	0.165451889	0.024014174	-0.181192134	-0.08572062	-0.177273012	0.320236795
VC0227	-0.19541955	0.25876291	0.153663232	-0.057974305	0.134455363	0.205361861	-0.024194068
VC0228	-0.056799736	0.403731245	0.334758926	0.181662147	0.405394188	-0.190090667	-0.137902645
VC0229	-0.046716831	0.331244216	0.192386633	0.246232894	0.364261009	0.02863063	0.178536594
VC0230	-0.055913862	0.327676465	0.315818107	0.289094949	0.314285362	0.051161556	0.454235641
VC0231	-0.212729998	0.244146396	-0.009881085	0.182873717	0.25193135	-0.249273507	0.013987244
VC0232	-0.095937113	-0.219565759	-0.414061539	-0.266665633	-0.260420497	-0.262088133	-0.117087466
VC0233	-0.125957268	0.051906113	-0.073613739	-0.031048041	-0.289776597	-0.051359825	0.236118927
VC0234	-0.111558622	-0.099505539	-0.376193179	-0.116825439	-0.374430209	-0.239825684	-0.030007307
VC0235	-0.178991627	0.097360775	-0.297646831	0.038858882	-0.005306856	-0.332030331	0.298436599
VC0236	-0.187298422	-0.106410153	-0.362676211	-0.111383907	-0.065314687	-0.2642489	0.135460183
VC0237	-0.319543339	0.407138356	0.191657863	0.274353657	0.153461271	-0.039968584	-0.001150763
VC0238	-0.047693117	0.673141013	0.639071376	0.521968087	0.631888926	0.055858255	0.103221607
VC0239	-0.19584422	0.204011915	0.107392148	0.02170305	-0.15562878	-0.107504537	-0.096802623
VC0240	-0.318256824	-0.177823998	-0.329703381	-0.221567102	-0.162529067	-0.533241243	-0.170195841
VC0241	0.046222144	0.425922329	0.210520216	0.213402545	0.375520564	-0.038819516	-0.092000954
VC0242	0.119789064	0.456705444	0.118823488	0.158108504	0.639932204	-0.155527893	-0.259380578
VC0243	0.145528296	0.44906668	0.164317521	0.227493725	0.500245932	-0.038044438	-0.1425592
VC0244	0.054546599	0.263395495	0.177224447	0.054236061	0.506507518	-0.034239761	-0.190596642
VC0245	0.007108316	0.488785761	0.347157449	0.252590094	0.518256192	0.059355377	-0.09314982
VC0246	-0.043897345	0.621075815	0.408698703	0.327409365	0.670456391	0.093345887	0.026220243
VC0247	0.049987106	0.637643752	0.444264746	0.515853396	0.705132115	0.399892657	0.025394002
VC0248	0.039595441	0.572956057	0.377392728	0.377037329	0.556257479	0.150047615	-0.022524808
VC0249	-0.058543634	0.543319791	0.245948051	0.250513066	0.524809823	0.112183506	0.027830787
VC0250	-0.163442773	0.417159926	0.026781198	0.236285012	0.405571887	0.059748012	0.115092818
VC0251	-0.120218419	0.280021453	-0.029826842	0.099766104	0.250545918	0.032220681	0.125988093
VC0252	-0.051096708	0.323981295	0.187699217	0.285887987	0.241165784	0.106495443	0.206118924
VC0254	-0.108390805	0.863927263	0.436287035	0.438679918	0.50129523	0.353273326	0.466481082
VC0255	-0.092949382	0.314090808	0.065170101	0.243594785	0.298615987	0.0224853	-0.012839693
VC0256	-0.070068467	0.448888784	0.288138767	0.291781634	0.250927759	-0.071645685	0.253759574
VC0258	-0.187461204	0.201548236	0.012294382	0.062818903	0.15911337	-0.046051822	-0.122450956
VC0259	0.162629636	0.543319703	0.586246821	0.299362657	0.362765826	0.219094936	0.063983689
VC0260	-0.051764354	0.363419265	0.235607027	0.198172951	0.323360835	-0.214346493	0.148296947
VC0261	0.339379433	0.398040878	0.081729904	0.112133673	-0.149212608	-0.060218697	-0.221462853
VC0262	0.037997365	0.422309695	0.356767031	0.277587434	0.135944137	0.057420145	-0.046093604
VC0263	-0.103670141	0.13010338	-0.004742513	-0.143680509	-0.105032807	-0.061875504	-0.329913919
VC0264	0.095646637	0.037629767	0.404790942	-0.081749762	-0.22774238	0.190695074	0.247141007
VC0265	0.029927848	0.81869026	0.545895152	0.724858201	1.558272171	0.000514197	0.356049271
VC0266	-0.003716773	0.229096738	-0.092513997	-0.024935827	0.233414513	0.120229737	-0.350449427
VC0267	0.011472764	0.035108041	0.108822954	-0.012641939	-0.105845637	0.495881407	0.068702637
VC0268	0.004063346	0.525272228	0.494239528	0.463508796	0.485907366	0.237223414	0.23999165
VC0269	-0.148578429	0.310401335	0.037120311	0.074678041	0.29463479	0.093504941	0.045722115
VC0270	-0.0481712	0.388216006	0.133699631	0.225165103	0.18164677	0.200694012	0.04428522
VC0271	0.303843926	0.194336865	0.27115874	0.174860529	0.619524869	0.232086293	0.016008849
VC0272	0.850158926	0.152057316	0.372529705	0.114002453	-0.067283286	0.642026493	0.033549967
VC0273	0.62439243	0.047514545	0.550789105	0.67134738	0.076999848	0.844187262	1.35789731
VC0274	0.54119231	0.614924742	0.707613088	0.321758485	0.723984104	0.568299275	-0.049320202
VC0275	0.432678165	-0.263105085	-0.219787217	-0.290933259	2.018550206	0.707525647	0.242628416
VC0276	0.455173582	-0.921443415	-0.565996003	-0.835507735	1.629282162	0.960655877	0.282017132
VC0277	-0.022207572	0.132775529	0.052703782	0.133208575	-0.093835337	0.173089924	-0.067775802
VC0278	0.924561005	0.147496995	0.020329064	-0.159826716	0.497428532	0.176149882	1.102441702
VC0279	0.191680641	0.184328708	0.135692115	0.189628517	0.366470578	0.015601243	0.684519107
VC0280	0.056084036	0.025846746	-0.129819333	-0.07260001	-0.128286926	-0.011625354	-0.197186221
VC0281	-0.28802978	0.242059869	-0.143055289	-0.141278765	-0.209196465	-0.404746716	-0.081927452
VC0282	0.8226681	-0.019814729	0.08933926	0.350878489	0.003044662	-0.085454722	0.214477936
VC0283	-0.037764992	0.124196211	0.096775574	0.103701955	0.23565346	0.757699939	0.145145254
